,user,text,favorite_count,retweet_count,created_at
0,elonmusk,"Last night, car carrying lil X in LA was followed by crazy stalker (thinking it was me), who later blocked car from moving &amp; climbed onto hood.

Legal action is being taken against Sweeney &amp; organizations who supported harm to my family.",106180,11718,2022-12-15 00:48:13+00:00
1,elonmusk,"Any account doxxing real-time location info of anyone will be suspended, as it is a physical safety violation. This includes posting links to sites with real-time location info.

Posting locations someone traveled to on a slightly delayed basis isn’t a safety problem, so is ok.",144436,17484,2022-12-15 00:13:31+00:00
2,elonmusk,@mysteriouskat @jhall Yes,3299,135,2022-12-14 22:49:21+00:00
3,elonmusk,"@jhall Real-time posting of someone else’s location violates doxxing policy, but delayed posting of locations are ok",38327,2822,2022-12-14 22:00:11+00:00
4,elonmusk,@DirtyTesLa @Jason Up to 7 days for human review,3650,212,2022-12-14 20:13:56+00:00
5,elonmusk,@Jason Advertising revenue next year will be low industry-wide,15158,958,2022-12-14 19:14:53+00:00
6,elonmusk,@Balyx_ He would be welcome,35582,1508,2022-12-14 12:08:43+00:00
7,elonmusk,@NorwayMFA @TwitterSupport @jonasgahrstore @AHuitfeldt Sorry!,70878,1453,2022-12-14 11:42:47+00:00
8,elonmusk,@AvidHalaby Wow,5785,427,2022-12-14 11:35:14+00:00
9,elonmusk,@AvidHalaby Live &amp; learn …,6097,400,2022-12-14 11:35:03+00:00
10,elonmusk,@America1stLegal @DrJBhattacharya Extremely concerning …,48206,4664,2022-12-14 11:09:55+00:00
11,elonmusk,@hodgetwins 🏆,59821,5551,2022-12-14 11:03:56+00:00
12,elonmusk,@AndrewLawton Sounds like an attempt to muzzle the voice of the people of Canada,120719,13513,2022-12-14 10:53:36+00:00
13,elonmusk,@conexaopolitica @VitalikButerin Twitter may have people on the Brazil team that are strongly politically biased,13712,2417,2022-12-14 10:17:50+00:00
14,elonmusk,"@SirGrantFleming @conexaopolitica @VitalikButerin Agreed, I thought the same!",2279,92,2022-12-14 10:12:55+00:00
15,elonmusk,@conexaopolitica @VitalikButerin Looking into this,6230,394,2022-12-14 09:06:53+00:00
16,elonmusk,Highly recommended reading https://t.co/EeACKwlr2w,38317,4539,2022-12-14 09:05:41+00:00
17,elonmusk,@WholeMarsBlog @BarackObama Wise words from President Obama,85917,3620,2022-12-14 08:31:06+00:00
18,elonmusk,@naturalzzz @EMTSLA @jcn92977110 🎯,1454,78,2022-12-14 08:26:26+00:00
19,elonmusk,@BillyM2k @WholeMarsBlog Oh man that would be an epic troll!!,20079,1028,2022-12-14 06:51:46+00:00
20,elonmusk,@BillyM2k Yay!,5279,202,2022-12-14 06:50:26+00:00
