,user,text,favorite_count,retweet_count,created_at
0,POTUS,"Wages have gone up more than prices the last few months.
 
And in a few weeks – starting in January – families will get even more breathing room when our plan to lower drug costs, health insurance premiums, and energy bills goes into effect.",6861,1213,2022-12-15 00:30:00+00:00
1,POTUS,"Africa’s prosperity is essential to a better future for all of us.

The U.S.-Africa Business Forum is about connections and our shared future. Today, I announced over $15 billion in two-way trade and investment commitments, deals, and partnerships to advance shared priorities. https://t.co/mKwCT69kPW",2457,471,2022-12-14 23:25:02+00:00
2,POTUS,"For ten years, Sandy Hook survivors and the families of victims have turned their pain into purpose.

We owe them more than our prayers. We owe them action. https://t.co/Yap2LVb9kl",7003,1472,2022-12-14 23:00:46+00:00
3,POTUS,"It was a great honor to watch today’s World Cup match alongside Prime Minister Akhannouch of Morocco.

No matter who you’re rooting for, it was remarkable to watch how much this team has been able to achieve. https://t.co/5kC4zkT1HQ",31861,3704,2022-12-14 22:00:02+00:00
4,POTUS,"In a world where inflation is rising in double digits in many major economies around the world, it’s coming down in America.

Let’s keep it going. https://t.co/uhsNJggZxn",5798,1095,2022-12-14 21:21:20+00:00
5,POTUS,Tune in as I deliver remarks at the U.S.-Africa Business Forum. https://t.co/PDgqwy7Vqd,3272,716,2022-12-14 18:47:30+00:00
6,POTUS,"Ten years ago, 26 Newtown families said goodbye to their loved ones for the last time.

20 first-graders and 6 educators died at the hands of a lone gunman.

We still struggle to fathom such loss. But in this darkness, may we find the strength to finish the work left undone.",26261,4386,2022-12-14 14:07:08+00:00
7,POTUS,"The road to this moment has been long. But those who believed in equality never gave up. 

Today is for the Lovings, Edie Windsor and Thea Spyer, the 16 plaintiffs in the Obergefell case, and many others who fought for this.

From me and the entire nation: Thank you.",16593,2245,2022-12-14 02:18:58+00:00
8,POTUS,"As Mildred Loving said: previous generations were “bitterly divided over something that should have been so clear and right.”
 
Today, with the signing of the Respect for Marriage Act, we celebrate our progress.
 
There are few things as clear and right as marriage equality. https://t.co/lz9WtQqSsi",26345,3825,2022-12-14 01:08:54+00:00
9,POTUS,"Marriage is a simple proposition: who do you love? And will you be loyal to the person you love?
 
It’s not more complicated than that.
 
The Respect for Marriage Act recognizes that everyone should have the right to answer those questions for themselves.",62521,7905,2022-12-13 22:54:24+00:00
10,POTUS,"Today is a good day.
 
Today, America takes another step toward equality. Toward liberty and justice not just for some, but for all.
 
Because today, I sign the Respect for Marriage Act into law.",52845,6795,2022-12-13 21:13:21+00:00
11,POTUS,"Join the First Lady, Vice President Harris, the Second Gentleman, and me as we host a ceremony on the South Lawn to sign the Respect for Marriage Act. https://t.co/xqklzlC3Aw",7563,1374,2022-12-13 20:22:34+00:00
12,POTUS,"Americans can see our economic progress while driving down the street, finding relief at the pump as gas prices fall.
 
As they get ready for holiday celebrations and dinners, food inflation is slowing.

These savings are crucial for so many families.",10414,1586,2022-12-13 19:03:00+00:00
13,POTUS,"If there is one message that breaks through from today, it's that this law – and the love it defends – strikes a blow against hate in all its forms.

Celebrate with us as I sign the historic Respect for Marriage Act into law. https://t.co/0NFNNCtVVK",30944,5631,2022-12-13 17:24:15+00:00
14,POTUS,"This morning, we received another reason to be optimistic going into the new year.

We learned that last month inflation came down more than experts expected – the fifth month in a row that annual inflation has fallen in the United States.",21633,3397,2022-12-13 17:06:25+00:00
15,POTUS,Tune in as I deliver remarks on our efforts to tackle inflation. https://t.co/hVFafBhHw3,4231,894,2022-12-13 15:33:05+00:00
16,POTUS,"Happy Birthday, @USNationalGuard. https://t.co/BSIvRUNtGx",23455,1914,2022-12-13 14:52:01+00:00
17,POTUS,"Today, I sign the Respect for Marriage Act into law – a landmark civil rights bill that honors the courage and sacrifice of generations of couples who fought for marriage equality and equal rights.",120950,14463,2022-12-13 13:59:52+00:00
18,POTUS,"On my first day in office, America rejoined the Paris Agreement on climate change.

And in under 2 years, we’re closer than ever to achieving our goal of reducing U.S. emissions and galvanizing global action to limit warming to 1.5 °C.

I’m confident that we can get it done. https://t.co/A2kdI84FIl",10140,1732,2022-12-12 23:30:34+00:00
19,POTUS,"For 75 years, Toys for Tots has brought joy, laughter, and smiles to families and kids across the country.

It's one of the best events of the year. And today, Jill and I were proud to get these toys ready for the journey to their new owners. https://t.co/3Ez2wn9meq",17614,2151,2022-12-12 22:54:48+00:00
20,POTUS,"Delivering the most aggressive climate action in history is about lowering energy costs for families, creating good-paying jobs, and ensuring America leads the global clean energy economy. https://t.co/DSM0OLoUbx",15884,2531,2022-12-12 20:30:01+00:00
21,POTUS,"I joined G7 Leaders and President Zelenskyy to discuss the progress we’ve made under Germany’s presidency to address pressing challenges of our time – Russia’s brutal war against Ukraine, climate, food and energy security, infrastructure, and more.
 
We're more united than ever. https://t.co/KdG4Iw2Ixl",14898,2224,2022-12-12 19:00:03+00:00
22,POTUS,"Today, we celebrate seven years of the Paris Agreement – and nearly two years since I got us back in.
 
Since then, we signed into law the largest climate investment in history, prioritized environmental justice, and moved closer to our ambitious goals.",19504,2983,2022-12-12 18:20:00+00:00
23,POTUS,Join Jill and me as we participate in a United States Marine Corps Reserve Toys for Tots event. https://t.co/DTFGHfoAsW,6630,1196,2022-12-12 17:41:43+00:00
24,POTUS,"When I think about climate change, I think about jobs.

It's time wind turbine blades, solar panels, and electric vehicle batteries were built by American union workers in American towns instead of overseas.",31407,4473,2022-12-12 14:24:15+00:00
